game_id,season,week,season_type,away_team,home_team,old_game_rating,new_game_rating,rating_delta,old_win_chances_max_diff,old_win_prob_shifts,pbp_status,pbp_raw_rows,pbp_plays,pbp_discarded_rows,pbp_periods,pbp_home_score,pbp_away_score,pregame_home_wp,game_spread,new_win_chances_max_diff,new_win_prob_shifts
401858201,2026,1,regular,Hawai'i,Stanford,6.69,,,0.73,29.2,source_not_completed,120,111,9,3.0,23.0,7.0,,,,
401858202,2026,1,regular,NC State,Virginia,4.57,2.9,-1.67,0.782,31.28,complete,165,148,17,4.0,34.0,8.0,0.6348350644111633,4.0,0.4164443612098694,5.23868727684021
401858204,2026,1,regular,Akron,Wake Forest,3.03,2.79,-0.24,0.0580000000000001,2.32,complete,187,170,17,4.0,38.0,16.0,0.9597121477127075,27.5,0.04666399955749512,0.9028720855712891
401858206,2026,1,regular,Miami,Stanford,1.37,1.43,0.06,0.092,3.68,complete,182,159,23,4.0,6.0,45.0,0.059751298278570175,24.5,0.21490283824095968,3.1002885845664423
401858207,2026,1,regular,Miami (OH),Pittsburgh,2.62,,,0.27,10.8,source_not_completed,162,154,8,4.0,59.0,14.0,,,,
401858208,2026,1,regular,New Hampshire,Syracuse,1.16,1.18,0.02,0.018,0.720000000000001,complete,182,171,11,4.0,66.0,3.0,0.9597121477127075,35.5,0.04024380445480347,0.6925564408302307
401858209,2026,1,regular,Tulane,Duke,4.76,,,0.582,23.28,missing_pbp,0,0,0,,,,,,,
401858210,2026,1,regular,UCLA,California,6.25,5.68,-0.57,0.864,34.56,complete,196,175,21,4.0,24.0,45.0,0.4151776432991028,2.5,0.6346172373741865,25.099628522526473
401858211,2026,1,regular,VMI,Virginia Tech,1.0,,,0.0,0.0,source_not_completed,40,40,0,2.0,28.0,0.0,,,,
401858212,2026,1,regular,SMU,Florida State,7.7,7.14,-0.56,0.836,33.44,complete,168,168,0,4.0,24.0,27.0,0.44337689876556396,3.0,0.50849449634552,27.10849406570196
401858422,2026,1,regular,Eastern Illinois,Minnesota,0.88,1.05,0.17,0.004,0.16,complete,156,146,10,4.0,59.0,7.0,0.9503301382064819,42.5,0.049619853496551514,0.48997217416763306
401858423,2026,1,regular,Massachusetts,Rutgers,3.7,5.46,1.76,0.046,1.84,complete,165,159,6,4.0,21.0,37.0,0.9503301382064819,29.5,0.9850336214294657,11.794485904509202
401858424,2026,1,regular,UAB,Illinois,3.59,3.73,0.14,0.0680000000000001,2.72,complete,161,148,13,4.0,42.0,23.0,0.9418721795082092,25.5,0.13519209623336792,3.316260516643524
401858425,2026,1,regular,North Texas,Indiana,1.32,1.5,0.18,0.00600000000000001,0.24,complete,161,143,18,4.0,52.0,16.0,0.9677537083625793,39.5,0.03220820426940918,0.7467414736747742
401858426,2026,1,regular,Northern Illinois,Iowa,0.68,0.58,-0.1,0.028,1.12,complete,176,171,5,4.0,40.0,0.0,0.9503301382064819,31.5,0.04962962865829468,0.5533980131149292
401858427,2026,1,regular,Hampton,Maryland,0.89,,,0.002,0.0800000000000001,source_not_completed,17,15,2,1.0,7.0,0.0,,,,
401858428,2026,1,regular,Western Michigan,Michigan,4.35,,,0.0580000000000001,2.32,source_not_completed,36,36,0,1.0,7.0,3.0,,,,
401858429,2026,1,regular,Toledo,Michigan State,5.72,5.36,-0.36,0.49,19.6,complete,177,150,27,4.0,30.0,20.0,0.778033971786499,10.0,0.435047447681427,13.332152783870697
401858430,2026,1,regular,Ohio,Nebraska,3.08,3.55,0.47,0.0980000000000001,3.92,complete,169,166,3,4.0,49.0,21.0,0.9418721795082092,23.5,0.22594350576400757,8.203886985778809
401858431,2026,1,regular,South Dakota State,Northwestern,4.93,,,0.388,15.52,source_not_completed,19,17,2,1.0,7.0,0.0,,,,
401858432,2026,1,regular,Ball State,Ohio State,0.75,1.08,0.33,0.0,0.0,complete,172,163,9,4.0,56.0,3.0,0.9599751234054565,50.5,0.054997384548187256,0.4872254729270935
401858433,2026,1,regular,Boise State,Oregon,5.08,,,0.0840000000000001,3.36,source_not_completed,24,23,1,1.0,0.0,7.0,,,,
401858434,2026,1,regular,Marshall,Penn State,1.28,,,0.112,4.48,source_not_completed,23,23,0,1.0,10.0,0.0,,,,
401858435,2026,1,regular,Indiana State,Purdue,2.55,2.8,0.25,0.014,0.56,complete,162,151,11,4.0,44.0,19.0,0.9597121477127075,35.5,0.04943883419036865,1.6521678566932678
401858436,2026,1,regular,Fresno State,USC,1.2,1.01,-0.19,0.12,4.8,complete,137,132,5,4.0,39.0,0.0,0.946466863155365,21.5,0.1087605357170105,2.9796606302261353
401858437,2026,1,regular,Washington State,Washington,3.65,3.8,0.15,0.112,4.48,complete,163,151,12,4.0,24.0,10.0,0.9418721795082092,23.5,0.15297889709472656,5.728126227855682
401858438,2026,1,regular,Wisconsin,Notre Dame,2.8,2.57,-0.23,0.158,6.32,complete,173,153,20,4.0,41.0,13.0,0.9081499576568604,21.0,0.1307833194732666,4.074107885360718
401860878,2026,1,regular,Wyoming,Colorado State,5.33,,,0.836,33.44,source_not_completed,102,94,8,3.0,14.0,13.0,,,,
401860879,2026,1,regular,Portland State,San Diego State,1.8,2.21,0.41,0.00600000000000001,0.24,complete,185,180,5,4.0,53.0,20.0,0.9597121477127075,38.5,0.0937037467956543,1.7232394814491272
401860880,2026,1,regular,Idaho State,Utah State,5.02,,,0.318,12.72,source_not_completed,70,69,1,2.0,7.0,16.0,,,,
401861962,2026,1,regular,Lafayette,UConn,2.08,1.29,-0.79,0.178,7.12,complete,185,180,5,4.0,56.0,7.0,0.946466863155365,21.5,0.07847696542739868,0.8308872580528259
401862693,2026,1,regular,Memphis,UNLV,6.96,6.92,-0.04,0.73,29.2,complete,184,173,11,4.0,21.0,27.0,0.6268573999404907,4.5,0.8821843918412924,24.17439728602767
401862694,2026,1,regular,The Citadel,Charlotte,6.68,,,0.158,6.32,missing_pbp,0,0,0,,,,,,,
401862695,2026,1,regular,Arkansas State,Memphis,5.49,,,0.468,18.72,source_not_completed,68,66,2,2.0,14.0,17.0,,,,
401862696,2026,1,regular,Towson,Navy,2.43,,,0.036,1.44,source_not_completed,28,28,0,1.0,7.0,0.0,,,,
401862697,2026,1,regular,Houston Christian,Rice,2.21,,,0.112,4.48,source_not_completed,60,57,3,2.0,14.0,3.0,,,,
401862698,2026,1,regular,Rhode Island,Temple,3.84,,,0.318,12.72,source_not_completed,91,87,4,3.0,24.0,14.0,,,,
401862699,2026,1,regular,Florida International,South Florida,4.61,,,0.318,12.72,source_not_completed,80,72,8,2.0,6.0,0.0,,,,
401862700,2026,1,regular,UT Rio Grande Valley,UTSA,2.44,,,0.05,2.0,source_not_completed,29,29,0,1.0,7.0,0.0,,,,
401862701,2026,1,regular,Bryant,Army,1.01,0.95,-0.06,0.01,0.4,complete,159,151,8,4.0,59.0,3.0,0.9781081676483154,37.5,0.0218505859375,0.21631067991256714
401864424,2026,1,regular,Merrimack,Delaware,1.69,1.74,0.05,0.03,1.2,complete,169,166,3,4.0,42.0,7.0,0.9810996055603027,31.5,0.046295762062072754,1.3693691492080688
401864425,2026,1,regular,West Georgia,Kennesaw State,1.42,0.97,-0.45,0.12,4.8,complete,175,168,7,4.0,47.0,0.0,0.952545702457428,22.5,0.0711858868598938,1.439014494419098
401864432,2026,1,regular,Western Kentucky,Nevada,4.63,3.07,-1.56,0.946,37.84,complete,172,166,6,4.0,49.0,14.0,0.49929526448249817,1.5,0.536830484867096,10.408906310796738
401864494,2026,1,regular,San José State,USC,3.59,3.67,0.08,0.01,0.4,complete,160,152,8,4.0,42.0,26.0,0.9503301382064819,37.5,0.04958909749984741,0.5568677186965942
401864495,2026,1,regular,San José State,Eastern Michigan,7.39,7.04,-0.35,0.918,36.72,complete,208,186,22,4.0,21.0,27.0,0.5089547634124756,1.5,0.8108835220336914,29.76211240887642
401864496,2026,1,regular,Duquesne,Air Force,1.13,0.92,-0.21,0.05,2.0,complete,155,150,5,4.0,34.0,0.0,0.9503301382064819,31.5,0.04960668087005615,0.7798637747764587
401864497,2026,1,regular,UNLV,Hawai'i,5.55,4.45,-1.1,0.836,33.44,complete,178,165,13,4.0,6.0,21.0,0.45905500650405884,2.5,0.48220378160476685,15.237167365849018
